Process Image Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
377,1596868907.181052,1596868907.263827,82.775116,-0.100299
378,1596868907.281229,1596868907.363976,82.747459,-0.100177
379,1596868907.381477,1596868907.464209,82.731724,-0.100248
380,1596868907.481669,1596868907.564415,82.746506,-0.100192
381,1596868907.581892,1596868907.664657,82.765579,-0.100223
382,1596868907.682119,1596868907.764856,82.736969,-0.100227
383,1596868907.782358,1596868907.865069,82.711458,-0.100239
384,1596868907.882578,1596868907.965328,82.749844,-0.100220
385,1596868907.982805,1596868908.065557,82.752466,-0.100227
386,1596868908.083013,1596868908.165730,82.716465,-0.100208
387,1596868908.183263,1596868908.266057,82.794666,-0.100250
388,1596868908.283485,1596868908.366195,82.710505,-0.100222
389,1596868908.383689,1596868908.466434,82.744837,-0.100204
390,1596868908.483888,1596868908.566647,82.759142,-0.100199
391,1596868908.584106,1596868908.666928,82.822084,-0.100218
392,1596868908.684332,1596868908.767104,82.772255,-0.100226
393,1596868908.784540,1596868908.867264,82.723856,-0.100208
394,1596868908.884760,1596868908.967512,82.751989,-0.100219
395,1596868908.984978,1596868909.067744,82.766533,-0.100218
396,1596868909.085171,1596868909.167925,82.753181,-0.100194
397,1596868909.185441,1596868909.268234,82.792997,-0.100270
398,1596868909.285641,1596868909.368382,82.741499,-0.100199
399,1596868909.385904,1596868909.468703,82.799435,-0.100263
400,1596868909.486140,1596868909.568898,82.757711,-0.100236
401,1596868909.586378,1596868909.671125,84.746838,-0.100238
402,1596868909.686574,1596868909.769379,82.805634,-0.100195
403,1596868909.786821,1596868909.869596,82.775354,-0.100247
404,1596868909.887072,1596868909.969851,82.779169,-0.100251
405,1596868909.987304,1596868910.070086,82.782030,-0.100232
406,1596868910.087514,1596868910.170276,82.762480,-0.100210
407,1596868910.187736,1596868910.270507,82.771301,-0.100222
408,1596868910.287971,1596868910.370722,82.751513,-0.100235
409,1596868910.388207,1596868910.470976,82.768202,-0.100237
410,1596868910.488449,1596868910.571249,82.800150,-0.100242
411,1596868910.588677,1596868910.671425,82.747698,-0.100228
412,1596868910.688931,1596868910.771660,82.729340,-0.100254
413,1596868910.789141,1596868910.871875,82.733154,-0.100211
414,1596868910.889422,1596868910.972108,82.685947,-0.100280
415,1596868910.989615,1596868911.072338,82.722664,-0.100193
416,1596868911.089840,1596868911.172588,82.747698,-0.100225
417,1596868911.190050,1596868911.272800,82.750320,-0.100210
418,1596868911.290285,1596868911.373012,82.727432,-0.100235
419,1596868911.390484,1596868911.473196,82.711458,-0.100199
420,1596868911.490724,1596868911.573602,82.877398,-0.100240
421,1596868911.590925,1596868911.673668,82.742929,-0.100201
422,1596868911.691179,1596868911.773971,82.792521,-0.100254
423,1596868911.791382,1596868911.874114,82.731962,-0.100203
424,1596868911.891598,1596868911.974359,82.761288,-0.100216
425,1596868911.991802,1596868912.074534,82.731724,-0.100204
426,1596868912.092017,1596868912.174769,82.751274,-0.100215
427,1596868912.192235,1596868912.274950,82.714796,-0.100217
428,1596868912.292478,1596868912.375450,82.972288,-0.100243
429,1596868912.392932,1596868912.476038,83.106279,-0.100454
430,1596868912.493068,1596868912.576166,83.098412,-0.100136
431,1596868912.593427,1596868912.677633,84.205866,-0.100359
432,1596868912.693735,1596868912.777821,84.086180,-0.100308
433,1596868912.793798,1596868912.876447,82.648754,-0.100063
434,1596868912.893982,1596868912.976425,82.443476,-0.100183
435,1596868912.994105,1596868913.076562,82.456589,-0.100124
436,1596868913.094270,1596868913.176729,82.458496,-0.100165
437,1596868913.194388,1596868913.276792,82.403898,-0.100118
438,1596868913.294562,1596868913.377046,82.483768,-0.100174
439,1596868913.394672,1596868913.477097,82.424879,-0.100110
440,1596868913.494853,1596868913.577297,82.444429,-0.100180
441,1596868913.594960,1596868913.677377,82.417488,-0.100107
442,1596868913.695138,1596868913.777600,82.461834,-0.100179
443,1596868913.795243,1596868913.877671,82.428694,-0.100104
444,1596868913.895423,1596868913.978271,82.847118,-0.100181
445,1596868913.995543,1596868914.077954,82.410336,-0.100120
446,1596868914.095712,1596868914.178137,82.424641,-0.100169
447,1596868914.195830,1596868914.278235,82.404375,-0.100118
448,1596868914.296004,1596868914.378438,82.434654,-0.100173
449,1596868914.396117,1596868914.478537,82.420349,-0.100113
450,1596868914.496281,1596868914.578715,82.433462,-0.100164
451,1596868914.596396,1596868914.678840,82.444191,-0.100114
452,1596868914.696571,1596868914.779012,82.441092,-0.100175
453,1596868914.796681,1596868914.879120,82.439184,-0.100110
454,1596868914.896859,1596868914.979319,82.460403,-0.100178
455,1596868914.996968,1596868915.079433,82.464933,-0.100109
456,1596868915.097155,1596868915.180007,82.852125,-0.100187
457,1596868915.197416,1596868915.280024,82.607985,-0.100261
458,1596868915.297575,1596868915.379977,82.402945,-0.100159
459,1596868915.397676,1596868915.480105,82.429886,-0.100101
460,1596868915.497859,1596868915.580277,82.418203,-0.100183
461,1596868915.597960,1596868915.680418,82.457542,-0.100102
462,1596868915.698143,1596868915.780548,82.405806,-0.100182
463,1596868915.798268,1596868915.880726,82.457542,-0.100126
464,1596868915.898429,1596868915.980840,82.410574,-0.100161
465,1596868915.998549,1596868916.081011,82.461596,-0.100120
466,1596868916.098714,1596868916.181143,82.428694,-0.100165
467,1596868916.198826,1596868916.281273,82.446814,-0.100112
468,1596868916.298994,1596868916.381403,82.409143,-0.100168
469,1596868916.399109,1596868916.482103,82.994223,-0.100116
470,1596868916.499323,1596868916.584970,85.647345,-0.100214
471,1596868916.599461,1596868916.681907,82.446575,-0.100138
472,1596868916.699609,1596868916.782025,82.415581,-0.100148
473,1596868916.799728,1596868916.882214,82.485914,-0.100119
474,1596868916.899889,1596868916.982739,82.849979,-0.100161
